app/(tabs)/analytics.tsx(162,20): error TS2345: Argument of type '"of"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/activity-feed.tsx(81,99): error TS2345: Argument of type '"noActivityRecorded"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/ai-assistant.tsx(153,74): error TS2345: Argument of type '"aiAssistant"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(66,11): error TS2345: Argument of type '"exportReady"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(67,11): error TS2345: Argument of type '"exportReadyMessage"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(71,21): error TS2345: Argument of type '"exportFailed"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(71,40): error TS2345: Argument of type '"exportFailedMessage"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(78,37): error TS2345: Argument of type '"allCards"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(85,7): error TS2345: Argument of type '"productNameLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(86,7): error TS2345: Argument of type '"statusLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(87,7): error TS2345: Argument of type '"currentStageLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(88,7): error TS2345: Argument of type '"locationLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(89,7): error TS2345: Argument of type '"progressLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(90,7): error TS2345: Argument of type '"cycleTimeLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(91,7): error TS2345: Argument of type '"createdAtLabel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(100,44): error TS2345: Argument of type '"exportDescription"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(105,48): error TS2345: Argument of type '"exportFormat"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(124,48): error TS2345: Argument of type '"dataScope"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(139,48): error TS2345: Argument of type '"includedFields"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/export.tsx(166,55): error TS2345: Argument of type '"exportAction"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/SearchModal.tsx(125,48): error TS2345: Argument of type '"searchResults"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/SearchModal.tsx(146,48): error TS2345: Argument of type '"noCardsMatch"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(23,20): error TS2345: Argument of type '"assembly"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(25,20): error TS2345: Argument of type '"qc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(26,20): error TS2345: Argument of type '"packaging"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(27,20): error TS2345: Argument of type '"shipping"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(34,61): error TS2345: Argument of type '"m"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(37,33): error TS2345: Argument of type '"h"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(37,47): error TS2345: Argument of type '"m"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
components/StageDurationHeatmap.tsx(37,65): error TS2345: Argument of type '"h"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
